ticker,name,sector,form,filing_date,accession,source_url,local_path,status
COST,Costco,Consumer Staples,8-K,2026-07-08,0000909832-26-000060,https://www.sec.gov/Archives/edgar/data/909832/000090983226000060/cost-20260707.htm,sp100_dataset/COST/8-K_2026-07-08.txt,cached
COST,Costco,Consumer Staples,8-K,2026-05-28,0000909832-26-000046,https://www.sec.gov/Archives/edgar/data/909832/000090983226000046/cost-20260528.htm,sp100_dataset/COST/8-K_2026-05-28.txt,cached
COST,Costco,Consumer Staples,DEF 14A,2025-12-04,0000909832-25-000159,https://www.sec.gov/Archives/edgar/data/909832/000090983225000159/cost-20251204.htm,sp100_dataset/COST/DEF14A_2025-12-04.txt,cached
COST,Costco,Consumer Staples,10-K,2025-10-08,0000909832-25-000101,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/cost-20250831.htm,sp100_dataset/COST/10-K_2025-10-08.txt,cached
CRM,Salesforce,Information Technology,8-K,2026-06-02,0001108524-26-000138,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000138/crm-20260527.htm,sp100_dataset/CRM/8-K_2026-06-02.txt,cached
CRM,Salesforce,Information Technology,8-K,2026-06-01,0001108524-26-000131,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000131/crm-20260528.htm,sp100_dataset/CRM/8-K_2026-06-01.txt,cached
CRM,Salesforce,Information Technology,DEF 14A,2026-04-16,0001108524-26-000085,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000085/crm-20260416.htm,sp100_dataset/CRM/DEF14A_2026-04-16.txt,cached
CRM,Salesforce,Information Technology,10-K,2026-03-02,0001108524-26-000060,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm,sp100_dataset/CRM/10-K_2026-03-02.txt,cached
CSCO,Cisco,Information Technology,8-K,2026-05-13,0000858877-26-000075,https://www.sec.gov/Archives/edgar/data/858877/000085887726000075/csco-20260513.htm,sp100_dataset/CSCO/8-K_2026-05-13.txt,cached
CSCO,Cisco,Information Technology,8-K,2026-05-01,0000858877-26-000057,https://www.sec.gov/Archives/edgar/data/858877/000085887726000057/csco-20260427.htm,sp100_dataset/CSCO/8-K_2026-05-01.txt,cached
CSCO,Cisco,Information Technology,DEF 14A,2025-10-28,0000858877-25-000150,https://www.sec.gov/Archives/edgar/data/858877/000085887725000150/csco-20251027.htm,sp100_dataset/CSCO/DEF14A_2025-10-28.txt,cached
CSCO,Cisco,Information Technology,10-K,2025-09-03,0000858877-25-000111,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/csco-20250726.htm,sp100_dataset/CSCO/10-K_2025-09-03.txt,cached
CVS,CVS Health,Health Care,8-K,2026-05-18,0000064803-26-000082,https://www.sec.gov/Archives/edgar/data/64803/000006480326000082/cvs-20260514.htm,sp100_dataset/CVS/8-K_2026-05-18.txt,cached
CVS,CVS Health,Health Care,8-K,2026-05-06,0000064803-26-000051,https://www.sec.gov/Archives/edgar/data/64803/000006480326000051/cvs-20260506.htm,sp100_dataset/CVS/8-K_2026-05-06.txt,cached
CVS,CVS Health,Health Care,DEF 14A,2026-04-03,0001308179-26-000201,https://www.sec.gov/Archives/edgar/data/64803/000130817926000201/cvs014969-def14a.htm,sp100_dataset/CVS/DEF14A_2026-04-03.txt,cached
